iter	Passed	Remaining
0	142	142255
1	144	72051
2	146	48776
3	148	37018
4	150	29880
5	151	25134
6	152	21699
7	154	19121
8	155	17109
9	156	15525
10	158	14241
11	160	13174
12	161	12243
13	162	11434
14	163	10741
15	165	10197
16	166	9640
17	167	9138
18	168	8702
19	169	8308
20	170	7952
21	171	7634
22	173	7351
23	173	7073
24	174	6818
25	175	6580
26	176	6357
27	177	6150
28	177	5954
29	178	5775
30	179	5607
31	180	5446
32	180	5296
33	181	5154
34	181	5017
35	182	4886
36	183	4763
37	183	4649
38	184	4538
39	184	4437
40	185	4342
41	186	4260
42	187	4178
43	188	4094
44	189	4013
45	189	3935
46	190	3859
47	191	3790
48	191	3723
49	192	3658
50	193	3597
51	193	3535
52	194	3476
53	195	3419
54	195	3362
55	196	3309
56	196	3256
57	197	3204
58	197	3157
59	198	3109
60	199	3066
61	200	3029
62	201	2997
63	202	2961
64	203	2924
65	204	2887
66	204	2849
67	205	2814
68	205	2778
69	206	2743
70	207	2712
71	208	2682
72	208	2650
73	209	2618
74	209	2587
75	210	2556
76	210	2527
77	211	2499
78	212	2472
79	212	2445
80	213	2419
81	214	2398
82	214	2373
83	215	2353
84	216	2332
85	217	2310
86	218	2288
87	218	2266
88	219	2244
89	219	2222
90	220	2201
91	220	2180
92	221	2159
93	221	2139
94	222	2119
95	223	2100
96	223	2081
97	224	2062
98	224	2044
99	225	2027
100	225	2010
101	226	1993
102	227	1977
103	227	1960
104	228	1947
105	229	1934
106	230	1922
107	231	1908
108	231	1895
109	232	1882
110	233	1867
111	233	1853
112	234	1838
113	234	1825
114	235	1811
115	235	1798
116	236	1783
117	236	1771
118	237	1758
119	238	1745
120	238	1733
121	239	1720
122	239	1708
123	240	1696
124	241	1687
125	241	1676
126	242	1664
127	242	1655
128	243	1645
129	244	1636
130	245	1626
131	245	1616
132	246	1606
133	247	1596
134	247	1586
135	248	1576
136	248	1566
137	249	1557
138	249	1547
139	250	1537
140	250	1528
141	251	1518
142	251	1509
143	252	1500
144	252	1491
145	253	1482
146	254	1474
147	254	1465
148	255	1457
149	256	1452
150	257	1450
151	258	1443
152	259	1437
153	260	1430
154	261	1423
155	261	1415
156	262	1407
157	262	1400
158	263	1392
159	263	1385
160	264	1377
161	264	1370
162	265	1363
163	266	1356
164	266	1349
165	267	1342
166	267	1335
167	268	1328
168	268	1321
169	269	1314
170	269	1308
171	271	1305
172	271	1300
173	272	1295
